Book,Tanakh,King James Version,New Jerusalem Version,Time,Period,Location
Acts,,44,51,80,Christian,Rome
Amos,17,30,37,-745,Monarchic,Israel
Baruch,,,32,-180,Hellenistic,Israel
1 Chronicles,38,13,13,-350,Persian,Israel
2 Chronicles,39,14,14,-350,Persian,Israel
Colossians,,51,58,62,Christian,Rome
1 Corinthians,,46,53,53,Christian,Ephesus
2 Corinthians,,47,54,55,Christian,Ephesus
Daniel,35,27,34,-350,Persian,Babylon
Deuteronomy,5,5,5,-625,Monarchic,Israel
Ecclesiastes,33,21,25,-300,Hellenistic,Israel
Ephesians,,49,56,80,Christian,Rome
Esther,34,17,19,-350,Persian,Persia
Exodus,2,2,2,-500,Persian,Israel
Ezekiel,14,26,33,-580,Exilic,Babylon
Ezra,36,15,15,-330,Persian,Israel
Galatians,,48,55,48,Christian,Antioch
Genesis,1,1,1,-500,Persian,Israel
Habakkuk,22,35,42,-605,Monarchic,Israel
Haggai,24,37,44,-520,Persian,Israel
Hebrews,,58,65,80,Christian,Rome
Hosea,15,28,35,-750,Monarchic,Israel
Isaiah,12,23,29,-750,Monarchic,Israel
James,,59,66,65,Christian,Israel
Jeremiah,13,24,30,-590,Exilic,Israel
Job,29,18,22,-300,Hellenistic,Edom
Joel,16,29,36,-350,Persian,Israel
John,,43,50,90,Christian,Patmos
1 John,,62,69,100,Christian,Ephesus
2 John,,63,70,100,Christian,Ephesus
3 John,,64,71,105,Christian,Ephesus
Jonah,19,32,39,-250,Hellenistic,Israel
Joshua,6,6,6,-625,Monarchic,Israel
Jude,,65,72,100,Christian,Israel
Judges,7,7,7,-625,Monarchic,Israel
Judith,,,18,-125,Maccabean,Israel
1 Kings,10,11,11,-625,Monarchic,Israel
2 Kings,11,12,12,-625,Monarchic,Israel
Lamentations,32,25,31,-550,Exilic,Israel
Leviticus,3,3,3,-500,Persian,Israel
Luke,,42,49,80,Christian,Israel
1 Maccabees,,,20,-150,Maccabean,Israel
2 Maccabees,,,21,-150,Maccabean,Israel
Malachi,26,39,46,-450,Persian,Israel
Mark,,41,48,65,Christian,Israel
Matthew,,40,47,80,Christian,Israel
Micah,20,33,40,-750,Monarchic,Israel
Nahum,21,34,41,-650,Monarchic,Israel
Nehemiah,37,16,16,-330,Persian,Israel
Numbers,4,4,4,-500,Persian,Israel
Obadiah,18,31,38,-586,Exilic,Edom
1 Peter,,60,67,75,Christian,Babylon
2 Peter,,61,68,110,Christian,Babylon
Philemon,,57,64,54,Christian,Rome
Philippians,,50,57,54,Christian,Rome
Proverbs,28,20,24,-550,Exilic,Israel
Psalms,27,19,23,-550,Exilic,Israel
Revelation,,66,73,95,Christian,Patmos
Romans,,45,52,57,Christian,Corinth
Ruth,31,8,8,-500,Persian,Israel
1 Samuel,8,9,9,-625,Monarchic,Israel
2 Samuel,9,10,10,-625,Monarchic,Israel
Sirach,,,28,-180,Hellenistic,Israel
Song of Solomon    ,30,22,26,-300,Hellenistic,Israel
1 Thessalonians,,52,59,51,Christian,Corinth
2 Thessalonians,,53,60,51,Christian,Corinth
1 Timothy,,54,61,100,Christian,Nicopolis
2 Timothy,,55,62,100,Christian,Rome
Titus,,56,63,100,Christian,Nicopolis
Tobit,,,17,-200,Hellenistic,Israel
Wisdom,,,27,-50,Maccabean,Israel
Zechariah,25,38,45,-500,Persian,Israel
Zephaniah,23,36,43,-625,Monarchic,Israel
